"GEOID","NAME","percent_asian","percent_black","percent_white","percent_other","percent_latinx"
"48201321500","Census Tract 3215, Harris County, Texas",0,0.037,0.8345,0.1285,0.9106
"48201321600","Census Tract 3216, Harris County, Texas",0.003,0.0143,0.8488,0.1338,0.849
"48201321700","Census Tract 3217, Harris County, Texas",0.0055,0.0044,0.793,0.1971,0.8203
"48201321800","Census Tract 3218, Harris County, Texas",0,0.0065,0.6847,0.3088,0.942
"48201321900","Census Tract 3219, Harris County, Texas",0.0027,0.0048,0.9312,0.0613,0.8988
"48201322000","Census Tract 3220, Harris County, Texas",0,0.0393,0.875,0.0857,0.8522
"48201322100","Census Tract 3221, Harris County, Texas",0,0.0061,0.964,0.0299,0.8813
"48201322200","Census Tract 3222, Harris County, Texas",0.0061,0.0024,0.8708,0.1206,0.8861
"48201322600","Census Tract 3226, Harris County, Texas",0.0011,0.0205,0.9336,0.0448,0.7172
"48201322700","Census Tract 3227, Harris County, Texas",0,0.0146,0.9297,0.0557,0.7738
"48201322800","Census Tract 3228, Harris County, Texas",0.0089,0,0.9623,0.0289,0.8871
"48201322900","Census Tract 3229, Harris County, Texas",0,0,0.9761,0.0239,0.9248
"48201323000","Census Tract 3230, Harris County, Texas",1e-04,0.007,0.9274,0.0655,0.938
"48201323100","Census Tract 3231, Harris County, Texas",0,0.0814,0.8979,0.0207,0.865
"48201323200","Census Tract 3232, Harris County, Texas",0.0096,0.0248,0.894,0.0716,0.7723
"48201323300","Census Tract 3233, Harris County, Texas",0.0066,0.0613,0.9006,0.0314,0.7764
"48201323400","Census Tract 3234, Harris County, Texas",0.0123,0.0138,0.9225,0.0514,0.8905
"48201323500","Census Tract 3235, Harris County, Texas",0,0.1194,0.8212,0.0594,0.7761
"48201323600","Census Tract 3236, Harris County, Texas",0.0367,0.0356,0.8247,0.103,0.5903
"48201323701","Census Tract 3237.01, Harris County, Texas",0.0132,0.0286,0.8717,0.0865,0.5946
"48201323702","Census Tract 3237.02, Harris County, Texas",0.071,9e-04,0.9259,0.0022,0.558
"48201323801","Census Tract 3238.01, Harris County, Texas",0,0,0.9652,0.0348,0.7751
"48201323802","Census Tract 3238.02, Harris County, Texas",0.0118,0.0197,0.8623,0.1062,0.7714
"48201323900","Census Tract 3239, Harris County, Texas",0.0084,0.0481,0.8768,0.0668,0.6017
"48201324000","Census Tract 3240, Harris County, Texas",0.0649,0.0127,0.8892,0.0332,0.4874
"48201324100","Census Tract 3241, Harris County, Texas",0,0.0221,0.909,0.0688,0.9004
"48201324200","Census Tract 3242, Harris County, Texas",0,0.0147,0.7019,0.2833,0.9466
"48201330100","Census Tract 3301, Harris County, Texas",0.0027,0.5793,0.3824,0.0356,0.4056
"48201330200","Census Tract 3302, Harris County, Texas",0,0.3855,0.5685,0.046,0.5829
"48201330301","Census Tract 3303.01, Harris County, Texas",0.027,0.2244,0.5723,0.1763,0.7189
"48201330302","Census Tract 3303.02, Harris County, Texas",0.0095,0.3755,0.4839,0.131,0.5772
"48201330303","Census Tract 3303.03, Harris County, Texas",0.0057,0.3765,0.5498,0.0681,0.4564
"48201330400","Census Tract 3304, Harris County, Texas",0,0.3619,0.5684,0.0697,0.583
"48201330500","Census Tract 3305, Harris County, Texas",0.0297,0.3438,0.5436,0.0829,0.6034
"48201330600","Census Tract 3306, Harris County, Texas",0,0.4955,0.4284,0.0761,0.4791
"48201330700","Census Tract 3307, Harris County, Texas",0.023,0.3319,0.5748,0.0703,0.603
"48201330800","Census Tract 3308, Harris County, Texas",0.022,0.6086,0.3119,0.0575,0.3277
"48201330900","Census Tract 3309, Harris County, Texas",0.0237,0.5092,0.4146,0.0525,0.4085
"48201331100","Census Tract 3311, Harris County, Texas",0,0.569,0.3146,0.1164,0.4002
"48201331200","Census Tract 3312, Harris County, Texas",0.0071,0.9197,0.0558,0.0173,0.0467
"48201331300","Census Tract 3313, Harris County, Texas",0.0029,0.7803,0.1835,0.0333,0.1983
"48201331400","Census Tract 3314, Harris County, Texas",0.0315,0.8728,0,0.0957,0
"48201331500","Census Tract 3315, Harris County, Texas",0.0019,0.812,0.1263,0.0598,0.1347
"48201331601","Census Tract 3316.01, Harris County, Texas",0.0133,0.8716,0.0837,0.0314,0.0961
"48201331602","Census Tract 3316.02, Harris County, Texas",0.0694,0.705,0.1501,0.0755,0.2143
"48201331700","Census Tract 3317, Harris County, Texas",0.0081,0.7123,0.1468,0.1328,0.2708
"48201331800","Census Tract 3318, Harris County, Texas",0.005,0.7877,0.1762,0.0311,0.1686
"48201331900","Census Tract 3319, Harris County, Texas",0,0.7315,0.2334,0.0351,0.2567
"48201332000","Census Tract 3320, Harris County, Texas",0.0088,0.6893,0.2419,0.06,0.2982
