collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
absolute resolutions investments llc,17,2,15,0.6%,0.2%,0.8%,2577,0,2577,0.6%,0.0%,0.6%,0.0%,0.0%,0.0%,52.9%,0.0%,60.0%,94.1%,50.0%,100.0%
jh cx liquidating trust assignee of jh portfolio debt equities llc,15,15,0,0.5%,1.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,46.7%,46.7%,0%,66.7%,66.7%,0%
second round sub llc assignee of synchrony bank,14,0,14,0.5%,0.0%,0.7%,3842,0,3842,0.9%,0.0%,0.9%,0.0%,0%,0.0%,64.3%,0%,64.3%,85.7%,0%,85.7%
dnf associates llc,13,13,0,0.5%,1.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,46.2%,46.2%,0%,61.5%,61.5%,0%
jh met subsidiary b liquidating trust assignee of jh portfolio debt equities llc,13,12,1,0.5%,1.4%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,61.5%,58.3%,100.0%,84.6%,83.3%,100.0%
credit corp solutions inc assignee of synchrony bank,12,3,9,0.4%,0.4%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,66.7%,77.8%,91.7%,66.7%,100.0%
crown asset management llc assignee of synchrony bank,11,0,11,0.4%,0.0%,0.6%,1061,0,1061,0.2%,0.0%,0.3%,0.0%,0%,0.0%,54.5%,0%,54.5%,90.9%,0%,90.9%
crown asset management llc assignee of comenity bank,11,0,11,0.4%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,72.7%,0%,72.7%,90.9%,0%,90.9%
credit corp solutions inc,11,10,1,0.4%,1.2%,0.1%,0,0,0,0.0%,0.0%,0.0%,9.1%,0.0%,100.0%,36.4%,40.0%,0.0%,63.6%,60.0%,100.0%
laurel wreath acquisitions llc,11,2,9,0.4%,0.2%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,54.5%,100.0%,44.4%,100.0%,100.0%,100.0%
second round lp assignee of synchrony bank,9,0,9,0.3%,0.0%,0.5%,1010,0,1010,0.2%,0.0%,0.2%,0.0%,0%,0.0%,66.7%,0%,66.7%,88.9%,0%,88.9%
discover bank,9,2,7,0.3%,0.2%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,44.4%,0.0%,57.1%,55.6%,0.0%,71.4%
portfolio recovery associates,8,0,8,0.3%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,75.0%,0%,75.0%,100.0%,0%,100.0%
crown asset management llc assignee of citibank na,7,0,7,0.2%,0.0%,0.4%,935,0,935,0.2%,0.0%,0.2%,0.0%,0%,0.0%,57.1%,0%,57.1%,85.7%,0%,85.7%
hartley & parker limited inc,5,1,4,0.2%,0.1%,0.2%,0,0,0,0.0%,0.0%,0.0%,20.0%,0.0%,25.0%,20.0%,0.0%,25.0%,60.0%,0.0%,75.0%
cach llc,5,1,4,0.2%,0.1%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,0.0%,75.0%,80.0%,0.0%,100.0%
